,symbol,bid,bidSize,ask,askSize,regularMarketVolume
1611,RBA,90.78,900.0,90.86,1000.0,367135.0
1612,NSUPF,0.33,,0.339,,10000.0
1613,PKOH,25.14,100.0,25.95,100.0,7876.0
1614,SCVL,26.98,100.0,27.15,100.0,63733.0
1615,DKS,249.9,800.0,250.14,1100.0,148419.0
1616,CPHC,,,,,1669.0
1617,HLI,181.81,800.0,182.19,800.0,208652.0
1618,IGIC,18.34,200.0,32.4,200.0,18082.0
1619,WMB,56.13,800.0,56.15,1100.0,2870363.0
1620,VRRM,26.73,300.0,26.82,300.0,191368.0
1621,BTEC,,,,,6421.0
1622,PKTX,0.01,,0.01,,24924.0
1623,BSL,14.37,800.0,14.44,1000.0,18799.0
1624,AWK,124.06,1200.0,124.18,1100.0,798378.0
1625,AMIH,,,,,100.0
1626,BANC,16.3,900.0,16.31,1400.0,341305.0
1627,IMIMF,0.0508,,0.061,,39.0
1628,IDHQ,30.08,800.0,30.14,800.0,49741.0
1629,DJIA,22.98,800.0,23.06,1800.0,16212.0
1630,WWW,24.11,2900.0,24.14,900.0,340102.0
1631,GRSLF,0.1363,,0.146,,20500.0
1632,CBD,,,,,
1633,ZYBT,4.13,100.0,4.36,100.0,9932.0
1634,AUB,37.66,800.0,37.71,800.0,188066.0
1635,IMTO,,,,,
1636,CNAF,6.85,40000.0,6.9,40000.0,2300.0
1637,ASC,11.9,800.0,11.91,800.0,235117.0
1638,EZFL,,,,,35027.0
1639,VIRT,39.32,100.0,42.47,200.0,337040.0
1640,WM,219.66,1300.0,219.83,1000.0,1678032.0
1641,LX,8.24,100.0,8.39,100.0,2206147.0
1642,ADC,72.65,900.0,72.74,900.0,197073.0
1643,CTRE,26.29,900.0,26.31,800.0,443756.0
1644,AFCG,8.22,100.0,8.24,100.0,54929.0
1645,IAE,6.24,1100.0,6.25,900.0,24671.0
1646,INGR,136.34,800.0,136.97,1100.0,224835.0
1647,EBTC,42.98,100.0,43.34,100.0,19468.0
1648,CWBHF,0.108,,0.11,,50609.0
1649,AIRG,,,,,31128.0
1650,HLLY,3.16,800.0,3.17,1400.0,146014.0
1651,PAGP,21.75,400.0,21.91,400.0,600227.0
1652,BTAL,18.17,1100.0,18.22,800.0,97283.0
1653,HIX,4.24,2900.0,4.25,900.0,154720.0
1654,APAM,44.83,800.0,44.91,800.0,70627.0
1655,IAC,42.64,100.0,46.34,200.0,422091.0
1656,VNOM,46.46,200.0,46.67,200.0,295336.0
1657,TD,57.83,1300.0,57.84,1100.0,530916.0
1658,ALX,189.32,900.0,193.55,800.0,8601.0
1659,DFS,204.2,900.0,204.38,900.0,460067.0
1660,EQT,51.63,1100.0,51.65,1200.0,1803269.0
1661,IBOC,67.18,100.0,67.72,100.0,60044.0
1662,JPRE,47.56,1000.0,47.59,1100.0,4499.0
1663,ACN,382.36,800.0,382.76,800.0,1175028.0
1664,FTBD,48.35,1000.0,48.45,1000.0,3789.0
1665,SBDG,0.5005,,0.948,,2000.0
1666,FNWB,7.56,200.0,13.82,200.0,3154.0
1667,MEI,12.16,800.0,12.17,900.0,91232.0
1668,STNG,47.44,800.0,47.47,1100.0,404628.0
1669,VSAT,9.36,100.0,9.52,100.0,1281535.0
1670,METV,15.29,900.0,15.3,4000.0,96947.0
1671,NHYDY,5.97,38800.0,5.99,40000.0,21140.0
1672,RTX,127.68,1100.0,127.68,1000.0,1439893.0
1673,ULCC,8.36,100.0,8.48,100.0,836833.0
1674,TSLS,7.83,10500.0,7.85,1700.0,10363059.0
1675,XLU,78.01,1400.0,78.01,1800.0,4746756.0
1676,CMC,49.25,900.0,49.28,2200.0,222594.0
1677,CHMG,,,,,6611.0
1678,CNA,49.49,800.0,49.52,900.0,57642.0
1679,CMA,67.03,800.0,67.08,800.0,1183500.0
1680,ETD,31.64,800.0,31.72,1300.0,571829.0
1681,INTK,0.0001,,0.0001,,100.0
1682,WBIG,24.48,1100.0,24.52,2200.0,846.0
1683,ACT,34.01,100.0,34.16,100.0,66764.0
1684,CIB,39.74,900.0,39.78,1000.0,332925.0
1685,HII,192.56,800.0,192.77,800.0,206558.0
1686,FRBA,11.03,200.0,19.68,200.0,13800.0
1687,FFNW,15.3,200.0,21.61,100.0,3821.0
1688,FBK,53.37,1000.0,53.45,1300.0,20792.0
1689,PARAA,20.71,200.0,24.59,200.0,2092.0
1690,PSA,298.84,800.0,299.26,800.0,263317.0
1691,SYPR,1.99,100.0,2.17,100.0,41897.0
1692,SMLP,,,,,
1693,VS,1.71,200.0,2.82,200.0,54786.0
1694,SPVM,60.07,1100.0,60.12,1000.0,9319.0
1695,OWL,25.72,800.0,25.73,800.0,1260161.0
1696,CCK,88.3,800.0,88.36,1100.0,481733.0
1697,HWM,126.29,800.0,126.37,800.0,1063098.0
1698,DIN,30.67,1000.0,30.76,800.0,147395.0
1699,WSM,219.66,800.0,219.92,1000.0,478572.0
1700,JFR,8.53,1800.0,8.54,1200.0,642779.0
1701,ESGRO,,,,,6174.0
1702,XCUR,,,,,9511.0
1703,WT,9.92,900.0,9.93,1100.0,389300.0
1704,MTN,169.64,1200.0,170.2,900.0,122564.0
1705,STRDUSD,,,,,
1706,HWBK,,,,,1524.0
1707,HNVR,,,,,4880.0
1708,VNNVF,28.55,40000.0,32.0,40000.0,800.0
1709,LAAB,0.0228,,0.0325,,307.0
1710,PGEN,1.31,100.0,1.39,100.0,498058.0
1711,AONNY,24.41,40000.0,24.5,41800.0,98.0
1712,HSCHF,,,,,50000.0
1713,SHBI,11.27,200.0,20.27,200.0,37584.0
1714,JFU,,,,,506.0
1715,PSO,16.84,2900.0,16.85,3200.0,231435.0
1716,GUNR,38.5,1200.0,38.51,1100.0,207702.0
1717,FCBC,43.63,100.0,44.34,100.0,8023.0
1718,JKHY,160.39,200.0,174.52,300.0,146910.0
1719,MSCI,591.5,800.0,592.62,1100.0,160739.0
1720,LPG,25.22,1200.0,25.23,1100.0,327477.0
1721,SIDU,2.38,200.0,2.46,100.0,358964.0
1722,AMT,185.79,900.0,185.92,900.0,559890.0
1723,ABM,53.12,900.0,53.17,800.0,83453.0
1724,NBSTU,,,,,100.0
1725,ALKM,,,,,17150.0
1726,AOMR,10.17,1100.0,10.19,2900.0,10463.0
1727,PRSO,0.85,100.0,0.87,100.0,57901.0
1728,LWAY,23.25,100.0,24.01,100.0,4659.0
1729,EUDG,32.13,1000.0,32.17,1000.0,924.0
1730,NEWT,9.51,200.0,16.97,200.0,17282.0
1731,PGR,248.37,1100.0,248.58,900.0,864521.0
1732,WHLRP,,,,,8.0
1733,SEB,2440.5,800.0,2445.33,1000.0,901.0
1734,MCW,8.25,100.0,8.41,100.0,514341.0
1735,HSTXF,0.5151,,0.529,,39534.0
1736,FC,37.0,900.0,37.15,800.0,42521.0
1737,FG,46.43,800.0,46.67,800.0,11602.0
1738,MONI,0.0145,,0.0155,,302166.0
1739,MSTO,,,,,1266805.0
1740,FENC,4.65,200.0,8.28,200.0,33602.0
1741,KRNY,5.24,200.0,8.98,200.0,164934.0
1742,CCTSU,,,,,300.0
1743,AEAE,11.1,,11.44,,2.0
1744,FELE,99.86,100.0,100.18,100.0,30318.0
1745,FYC,79.84,100.0,80.35,100.0,14646.0
1746,LAUR,16.51,100.0,19.0,100.0,93438.0
1747,GPI,462.74,800.0,463.78,1100.0,60476.0
1748,MDXH,1.41,200.0,2.44,200.0,46963.0
1749,MAIN,61.29,1000.0,61.34,1000.0,183229.0
1750,HUDAR,,,,,
1751,MRAM,6.17,100.0,6.23,100.0,24982.0
1752,DFAU,41.83,1300.0,41.84,1300.0,115100.0
1753,UCC,55.73,800.0,55.75,800.0,1223.0
1754,VNRX,0.6051,1200.0,0.6175,800.0,54672.0
1755,ACAI,,,,,10.0
1756,GOGO,8.22,100.0,8.38,100.0,202771.0
1757,BKH,58.85,900.0,58.88,800.0,87089.0
1758,WTIU,12.87,3000.0,12.91,3000.0,28719.0
1759,OCCIN,,,,,378.0
1760,BPOP,104.18,200.0,104.85,200.0,215597.0
1761,FBMS,38.8,800.0,38.86,800.0,86025.0
1762,IFAN,,,,,5283.0
1763,IVAC,2.55,200.0,4.48,200.0,13450.0
1764,LYRA,,,,,258293.0
1765,NGD,3.04,38800.0,3.05,36900.0,8214382.0
1766,OI,11.74,800.0,11.76,800.0,980244.0
1767,RWGI,0.0014,,0.0039,,5847.0
1768,PXF,50.4,900.0,50.46,900.0,20961.0
1769,MDLZ,57.76,1200.0,57.88,100.0,3188507.0
1770,MSM,82.02,800.0,82.11,800.0,122042.0
1771,MTZ,145.73,800.0,146.04,900.0,424656.0
1772,VCR,393.01,800.0,393.24,800.0,16753.0
1773,OPER,100.05,2200.0,100.06,900.0,2180.0
1774,LPLA,363.28,100.0,364.06,100.0,654416.0
1775,HJEN,,2200.0,,800.0,8224.0
1776,CCO,1.38,2200.0,1.38,1200.0,222403.0
1777,MPB,30.83,100.0,39.28,200.0,21151.0
1778,KT,17.68,1000.0,17.69,800.0,125868.0
1779,PTRB,41.28,1800.0,41.3,900.0,39376.0
1780,ALPMY,9.85,40000.0,9.89,300400.0,11720.0
1781,APO,170.91,900.0,170.97,1100.0,1104971.0
1782,ARTNA,22.32,200.0,40.03,200.0,8460.0
1783,OXLC,5.08,1500.0,5.09,1500.0,1955953.0
1784,ADALW,,,,,
1785,ICE,159.62,1100.0,159.76,1000.0,724046.0
1786,SKAS,7.8,36900.0,8.58,38500.0,631.0
1787,IFNNY,32.77,40000.0,32.83,40000.0,53214.0
1788,LYB,76.04,800.0,76.06,900.0,1720611.0
1789,ERC,9.28,1000.0,9.29,1200.0,51507.0
1790,BLZUSD,,,,,
1791,ENTG,100.99,700.0,101.44,300.0,954332.0
1792,TSLX,22.16,1100.0,22.17,800.0,66477.0
1793,BNBUSD,,,,,
1794,PYPD,,,,,7311.0
1795,IFBC,0.0011,,0.0014,,233000.0
1796,FTEK,0.679,200.0,1.32,200.0,8926.0
1797,DUOT,5.58,100.0,6.02,100.0,57120.0
1798,IBKR,217.36,100.0,218.26,100.0,1341916.0
1799,REKR,1.74,100.0,1.88,100.0,5494266.0
1800,AMTB,23.26,800.0,23.33,800.0,58273.0
1801,XFINW,,,,,
1802,EVKRF,0.0169,,0.024,,70.0
1803,QQQM,214.56,800.0,214.66,100.0,1303528.0
1804,UVSP,21.93,200.0,39.65,200.0,22921.0
1805,VMC,275.66,900.0,276.14,800.0,176608.0
1806,VETIF,,,,,
1807,NBO,,,,,
1808,EDIV,35.64,800.0,35.79,1400.0,59242.0
1809,SXI,186.99,800.0,188.24,800.0,11374.0
1810,CFFI,73.52,100.0,76.61,100.0,4125.0
1811,BSJO,,,,,223351.0
1812,HD,415.95,800.0,416.09,1000.0,1006048.0
1813,HY,53.8,800.0,54.37,800.0,15339.0
1814,NTNX,63.95,100.0,70.03,100.0,506544.0
1815,BLK,1068.39,800.0,1070.32,800.0,184068.0
1816,FLS,62.97,800.0,63.02,1100.0,533313.0
1817,BEKE,18.6,1000.0,18.61,1100.0,4732911.0
1818,FSV,185.26,100.0,185.68,100.0,22900.0
1819,MMS,75.38,800.0,75.55,800.0,187597.0
1820,DHIL,148.07,100.0,151.88,100.0,851.0
1821,CF,91.74,800.0,91.82,900.0,599698.0
1822,GFF,77.51,800.0,77.65,800.0,80418.0
1823,FMAO,27.46,100.0,28.73,100.0,4608.0
1824,MYE,12.32,800.0,12.33,900.0,45496.0
1825,STXS,2.33,1200.0,2.34,1200.0,190262.0
1826,DSX,1.84,900.0,1.85,1400.0,92215.0
1827,GFOF,,1000.0,,800.0,1180.0
1828,FLRN,30.85,2900.0,,4000.0,686582.0
1829,CQTUSD,,,,,
1830,H,159.3,800.0,159.56,800.0,97200.0
1831,ELP,6.65,800.0,6.66,800.0,106855.0
1832,EWBC,95.36,200.0,112.35,200.0,288783.0
1833,INSW,38.57,800.0,38.6,800.0,340869.0
1834,JULW,35.57,3000.0,35.61,800.0,4089.0
1835,HCKT,31.01,200.0,31.37,200.0,24657.0
1836,EMFM,,1400.0,,1000.0,3.0
1837,SVII,8.13,200.0,14.52,200.0,4.0
1838,ECCX,24.62,1800.0,24.89,900.0,105.0
1839,IPVIW,,,,,
1840,HTY,,,,,
1841,GEN,28.01,200.0,28.09,100.0,1744380.0
1842,TENKU,,,,,
1843,RILYL,,,,,5799.0
1844,AUDCLP,,,,,
1845,ADUS,90.05,200.0,159.44,200.0,68171.0
1846,BRT,17.35,800.0,17.65,1400.0,2917.0
1847,SLMBP,53.5,200.0,96.64,200.0,4198.0
1848,SOCL,42.74,100.0,49.14,100.0,2270.0
1849,CRPTUSD,,,,,
1850,CKPT,2.81,100.0,2.86,100.0,326440.0
1851,QSR,62.45,800.0,62.49,900.0,331484.0
1852,RICK,40.84,200.0,57.57,200.0,14260.0
1853,PPBI,26.14,100.0,26.18,100.0,146481.0
1854,RMBS,44.15,200.0,76.91,200.0,339124.0
1855,FMCX,32.36,900.0,32.45,800.0,5.0
1856,HWKN,104.38,100.0,130.44,200.0,124787.0
1857,TPIC,1.58,100.0,1.65,100.0,223310.0
1858,COGT,9.94,100.0,9.99,100.0,871473.0
1859,BUL,48.9,800.0,48.97,800.0,2586.0
1860,CTO,19.56,800.0,19.59,800.0,42790.0
1861,TWDDKK,,,,,
1862,MPA,11.85,1800.0,11.91,800.0,8379.0
1863,TRCY,13.92,40000.0,14.2,40000.0,100.0
1864,BRLRSD,,,,,
1865,USDSEK,,,,,
1866,NDSN,220.92,100.0,222.72,100.0,63909.0
1867,III,2.29,200.0,4.03,200.0,53408.0
1868,VBNK,9.51,200.0,17.17,200.0,17457.0
1869,CG,53.24,100.0,59.52,100.0,471812.0
1870,WSRC,,,,,1000.0
1871,USDMKD,,,,,
1872,TWDAUD,,,,,
1873,USDHKD,,,,,
1874,USDSAR,,,,,
1875,USDMXN,,,,,
1876,GSJY,38.46,1000.0,38.49,1000.0,3031.0
1877,WERN,36.81,100.0,41.85,100.0,165483.0
1878,BLQC,0.0298,,0.0305,,218900.0
1879,ASRV,,,,,703.0
1880,NPO,185.72,800.0,186.29,800.0,27143.0
1881,QNGYQ,,,,,
1882,CTOS,5.25,800.0,5.26,800.0,342205.0
1883,NZDSEK,,,,,
1884,TWDCHF,,,,,
1885,SGDUSD,,,,,
1886,TWDHKD,,,,,
1887,IRWD,2.26,100.0,2.37,100.0,6536236.0
1888,JPUS,118.41,1100.0,118.49,1300.0,1073.0
1889,CR,171.57,800.0,172.24,800.0,93487.0
1890,MCS,20.64,800.0,20.68,800.0,33639.0
1891,ARGT,88.5,1200.0,88.67,900.0,572650.0
1892,AEDBHD,,,,,
1893,VGID,,,,,8959588.0
1894,CNET,,,,,4562.0
1895,ALLGBP,,,,,
1896,USDPGK,,,,,
1897,CDFGBP,,,,,
1898,CMBT,10.96,800.0,11.01,800.0,22587.0
1899,OPRX,5.65,100.0,5.74,100.0,20232.0
1900,LXU,8.59,1000.0,8.61,900.0,75523.0
1901,APYX,1.04,200.0,1.9,200.0,2645.0
1902,VRPX,0.23,200.0,0.3822,200.0,344627.0
1903,COLB,28.15,100.0,28.21,200.0,323431.0
1904,SM,39.71,1000.0,39.78,800.0,592283.0
1905,NPRGBP,,,,,
1906,AUDAED,,,,,
1907,EURKZT,,,,,
1908,GBPSOS,,,,,
1909,ETBGBP,,,,,
1910,EURDJF,,,,,
1911,TUYA,2.49,2200.0,2.5,1300.0,1358118.0
1912,JLL,283.07,800.0,283.75,800.0,85848.0
1913,GHSGBP,,,,,
1914,EURAMD,,,,,
1915,RYI,23.19,800.0,23.18,1100.0,91958.0
1916,JODUSD,,,,,
1917,GBPBZD,,,,,
1918,ITIC,222.58,100.0,235.43,100.0,4822.0
1919,NUS,7.03,800.0,7.03,800.0,91497.0
1920,PRIM,76.7,900.0,76.94,800.0,275808.0
1921,MUSA,499.06,800.0,500.26,800.0,54167.0
1922,GBPBOB,,,,,
1923,TRYPLN,,,,,
