,symbol,bid,bidSize,ask,askSize,regularMarketVolume
18,OUTKY,1.47,,1.61,,200.0
19,BFIT,,1000.0,,1100.0,1119.0
20,BPMC,113.79,100.0,114.01,100.0,540414.0
21,NAAS,1.55,100.0,1.99,200.0,139386.0
22,EURTJS,,,,,
23,VC,86.66,100.0,86.88,100.0,50275.0
24,FRRVY,,,,,
25,TSMY,18.43,1100.0,18.48,800.0,19967.0
26,SPFX,1.8,40000.0,1.9,40000.0,100.0
27,TMSL,34.23,800.0,34.24,2200.0,53844.0
28,JEMB,50.78,,51.39,,
29,SYRE,16.28,200.0,22.31,100.0,185355.0
30,FTEC,183.19,1000.0,183.29,1000.0,158738.0
31,CLNE,3.29,200.0,3.42,300.0,2892006.0
32,LIXTW,,,,,57.0
33,SMAY,25.39,1800.0,25.46,2200.0,750.0
34,PMAR,40.68,1200.0,40.74,1400.0,13588.0
35,SMXT,1.73,100.0,1.77,100.0,31639.0
36,DUKZ,25.3,2200.0,25.32,2200.0,1552.0
37,ARHS,12.41,200.0,12.55,200.0,393489.0
38,WBWB,,,,,100.0
39,ELAB,1.67,100.0,1.8,100.0,2341943.0
40,CIBR,67.3,500.0,67.65,1000.0,411130.0
41,AVGX,26.62,300.0,26.7,300.0,2108010.0
42,AMPY,5.47,800.0,5.48,900.0,103818.0
43,MRUS,30.29,200.0,41.7,200.0,318565.0
44,FRLA,11.15,,11.49,,100.0
45,CYDY,0.178,,0.1799,,2730666.0
46,DDM,105.16,1100.0,105.18,900.0,124081.0
47,SDHC,25.01,3000.0,25.38,900.0,27536.0
48,BLIN,,,,,59383.0
49,YQQQ,11.91,200.0,21.28,200.0,24906.0
50,PRKS,52.3,1000.0,52.36,1000.0,93971.0
51,OSTX,2.05,900.0,2.08,800.0,407374.0
52,TIOAW,,,,,
53,STG,6.51,1300.0,6.77,1400.0,1847.0
54,MCZAF,,,,,121000.0
55,DRMAW,,,,,7600.0
56,SMCX,31.3,100.0,31.46,100.0,440199.0
57,LAZ,55.1,800.0,55.19,800.0,1051258.0
58,DRH,8.86,2200.0,8.87,800.0,201495.0
59,BWLP,13.28,1100.0,13.3,1100.0,647023.0
60,MSFD,13.84,100.0,13.89,100.0,168958.0
61,BRKH,10.03,,14.43,40000.0,33431.0
62,NBDS,31.54,1000.0,31.6,1000.0,446.0
63,XSW,194.62,800.0,194.87,1300.0,64260.0
64,GAP,24.39,800.0,24.4,800.0,1188666.0
65,IBHC,,3100.0,,3200.0,29735.0
66,RBNK,19.25,40000.0,20.9,40000.0,500.0
67,SY,0.644,200.0,1.12,200.0,43374.0
68,MITSF,18.84,40700.0,21.5,40000.0,500.0
69,QHDG,26.97,200.0,27.04,500.0,1.0
70,COKE,1260.43,200.0,1477.23,200.0,12906.0
71,CHAT,41.37,3000.0,41.49,1000.0,43237.0
72,USDJPY,,,,,
73,FLXR,38.96,900.0,39.01,1000.0,47176.0
74,GMNY,50.02,1000.0,50.06,1100.0,225.0
75,COYA,,,,,20175.0
76,PERI,8.75,100.0,8.93,100.0,72693.0
77,TTEQ,26.88,100.0,26.76,100.0,4406.0
78,COPP,20.22,100.0,20.67,100.0,2397.0
79,NM,,,,,
80,XXCH,22.34,1200.0,22.39,800.0,7309.0
81,PJFG,97.69,800.0,97.83,1100.0,589.0
82,ATYG,0.0001,,0.0002,,1085000.0
83,IWD,194.52,900.0,194.54,800.0,1157165.0
84,PEPLU,,,,,
85,SPYU,50.61,3000.0,50.64,3100.0,454339.0
86,PHB,18.23,4000.0,18.24,2900.0,339038.0
87,AUTL,2.16,100.0,2.2,100.0,438986.0
88,PC,0.5946,100.0,0.6304,300.0,22104.0
89,PC,0.5946,100.0,0.6304,300.0,22104.0
90,ASTL,8.62,100.0,8.68,100.0,90044.0
91,MAYZ,30.66,1000.0,30.8,1800.0,67.0
92,KRRO,32.89,100.0,34.41,100.0,28684.0
93,XBJA,29.23,4000.0,29.31,4000.0,2659.0
94,BNZI,2.11,100.0,2.28,100.0,38257397.0
95,SGDTHB,,,,,
96,BMDL,26.02,100.0,24.79,100.0,2.0
97,GHY,12.88,1800.0,12.9,800.0,102627.0
98,DKKRUB,,,,,
99,SGDTRY,,,,,
100,CART,49.35,100.0,49.41,100.0,1460810.0
101,AUCTIONUSD,,,,,
102,QRDOUSD,,,,,
103,EDVR,12.8,300400.0,13.2,40000.0,141.0
104,RAIUSD,,,,,
105,RENUSD,,,,,
106,CBFV,,,,,3879.0
107,LMPMY,2.58,40000.0,3.31,40000.0,200.0
108,SECR,25.75,800.0,25.83,,50.0
109,FBYD,,,,,31385.0
110,ILOW,35.85,1000.0,35.9,1000.0,10546.0
111,EMOR,0.051,,0.052,,9681.0
112,REQUSD,,,,,
113,BATUSD,,,,,
114,REPUSD,,,,,
115,IBIK,24.98,1200.0,25.0,1100.0,4029.0
116,MGM,34.46,800.0,34.48,800.0,2097950.0
117,EMRH,0.0001,,0.0389,,500.0
118,PODC,2.13,100.0,,,67001.0
119,LDRT,25.02,2900.0,25.05,,998.0
120,GATE,,,,,1.0
121,IGCB,45.19,800.0,45.24,900.0,724.0
122,AAPX,28.67,1000.0,28.69,800.0,31317.0
123,ETH,30.8,1000.0,30.81,1300.0,550342.0
124,ACHR,9.03,1400.0,9.04,800.0,9037170.0
125,SKLUSD,,,,,
126,ICXUSD,,,,,
127,INJUSD,,,,,
128,APRE,,,,,30281.0
129,CPXR,19.77,800.0,19.81,800.0,101.0
130,CRDT,25.37,900.0,25.38,800.0,6671.0
131,FSHPU,10.18,900.0,10.14,100.0,
132,JASMYUSD,,,,,
133,VIA,,,,,
134,RARIUSD,,,,,
135,OXTUSD,,,,,
136,IROHU,,,,,14.0
137,MANAUSD,,,,,
138,SHIBUSD,,,,,
139,DAIUSD,,,,,
140,KLTOW,,,,,614.0
141,WAI,0.3852,100.0,0.395,100.0,13166.0
142,ACOG,6.07,100.0,6.5,100.0,27368.0
143,ENV,,,,,
144,DUSKUSD,,,,,
145,FER,43.69,100.0,43.86,100.0,24574.0
146,OAKU,,,,,139.0
147,ENJUSD,,,,,
148,EQTXF,0.0015,,,,26062.0
149,FFLG,25.86,1100.0,25.89,800.0,11247.0
150,FISUSD,,,,,
151,FORTHUSD,,,,,
152,EFIV,57.54,1000.0,57.55,1300.0,34628.0
153,NBFC,50.91,800.0,50.95,1000.0,1.0
154,UMAY,34.05,1100.0,34.11,1200.0,704.0
155,IVVM,31.23,800.0,31.28,800.0,5389.0
156,TDS,35.75,800.0,35.82,800.0,261085.0
157,SIXF,28.77,1300.0,28.84,3100.0,296.0
158,NMRK,14.13,100.0,14.2,100.0,160990.0
159,ITDJ,25.21,800.0,25.23,800.0,172.0
160,FARMUSD,,,,,
161,GALAUSD,,,,,
162,GUSDUSD,,,,,
163,NEWH,0.0044,,0.0049,,20000.0
164,EQNR,23.92,1200.0,23.93,1100.0,1254197.0
165,XYZ,93.18,900.0,93.27,800.0,2893344.0
166,PBM,1.2,200.0,1.62,100.0,122067.0
167,GSRTU,10.0,800.0,10.02,100.0,1.0
168,SILA,24.41,800.0,24.46,1400.0,103362.0
169,SENR,0.03,,0.04,,30000.0
170,HF,20.53,800.0,20.56,1400.0,400.0
171,EQS,1.31,1100.0,,4000.0,66.0
172,FGD,22.96,1000.0,22.97,1800.0,40994.0
173,TECX,41.91,100.0,55.59,200.0,4220558.0
174,SLNZ,47.51,1300.0,47.65,900.0,1336.0
175,BDMD,7.0,100.0,7.46,100.0,103828.0
176,GRO,4.44,1000.0,4.55,1800.0,86497.0
177,HVRRY,44.94,40000.0,45.26,40000.0,244.0
178,FVNNR,0.1,1000.0,,,35.0
179,LDRC,25.0,800.0,25.04,,2101.0
180,DEXC,48.91,1000.0,48.98,1000.0,3412.0
181,PRIMEUSD,,,,,
182,TELO,,,,,24338.0
183,TELO,,,,,24338.0
184,NXTT,1.32,100.0,1.55,100.0,27839.0
185,FMAR,43.99,1200.0,44.09,1400.0,5723.0
186,MULL,11.32,200.0,19.34,200.0,62049.0
187,CRWL,31.55,100.0,31.93,100.0,81796.0
188,RFAC,3.5,100.0,,,2211.0
189,BDCZ,19.76,1000.0,19.79,1100.0,345.0
190,GIAX,18.91,900.0,18.95,1000.0,42609.0
191,ERDCF,0.414,,0.423,,39304.0
192,BETR,,,,,2859.0
193,PSQH,3.87,800.0,3.89,1000.0,449783.0
194,CNI,106.13,1000.0,106.17,1300.0,512880.0
195,CGEM,8.49,200.0,14.14,200.0,287972.0
196,AS,33.14,1400.0,33.2,1100.0,1036573.0
197,FIXP,20.07,1000.0,20.11,1800.0,50069.0
198,IJAN,31.45,900.0,31.52,1200.0,17920.0
199,FMCE,25.34,1000.0,25.44,900.0,28650.0
200,SEKJPY,,,,,
201,WEBS,28.37,1400.0,28.38,1100.0,36133.0
202,QNXT,25.48,2400.0,25.52,3600.0,450.0
203,IVVW,50.25,1200.0,50.35,800.0,5103.0
204,CLOX,25.59,800.0,25.65,900.0,341.0
205,FJUL,49.89,3100.0,49.96,1200.0,8068.0
206,GNOV,35.47,1100.0,35.56,800.0,5219.0
207,ULTY,8.68,1800.0,8.69,21500.0,619159.0
208,IBTO,23.82,100.0,23.84,12800.0,16630.0
209,XBOC,30.71,1100.0,30.8,900.0,5156.0
210,NFYS,,,,,
211,DKKMYR,,,,,
212,ACEL,11.39,800.0,11.4,800.0,59312.0
213,VEEAW,,,0.17,100.0,44.0
214,NEUP,5.17,100.0,5.4,100.0,89342.0
215,RAMP,34.56,800.0,34.59,800.0,112934.0
216,TNP,,,,,
217,MGAGBP,,,,,
218,DKKBGN,,,,,
219,QPX,36.77,3000.0,36.86,800.0,312.0
220,NIWM,,1400.0,,1000.0,961.0
221,MBSF,25.48,800.0,25.54,1800.0,1275.0
222,XTJL,34.29,900.0,34.4,3200.0,410.0
223,AVDS,53.49,800.0,53.59,1400.0,454.0
224,LOGC,5.46,200.0,7.57,100.0,55246.0
225,LIXT,,,,,3674.0
226,BTC,46.59,1000.0,46.61,900.0,398904.0
227,EURMUR,,,,,
228,SPC,14.94,200.0,26.63,200.0,1824.0
229,BIIB,138.97,100.0,153.38,100.0,320730.0
230,VNDCAD,,,,,
231,DYN,13.84,100.0,14.01,100.0,379162.0
232,XAUKRW,,,,,
233,EXG,8.46,1400.0,8.47,800.0,417727.0
234,WGSWW,,,,,5784.0
235,SNRE,49.35,100.0,49.46,100.0,129511.0
236,XAURUB,,,,,
237,SZLCHF,,,,,
238,LBO,34.83,1300.0,34.89,1000.0,13894.0
239,MMKUSD,,,,,
240,GLTR,117.68,1100.0,117.9,1000.0,8545.0
241,HYAC,10.81,900.0,10.83,2200.0,9731.0
242,EMCS,27.24,800.0,27.31,1100.0,300.0
243,FTGS,32.78,900.0,32.85,500.0,104762.0
244,PMVP,1.43,100.0,1.44,100.0,29588.0
245,UZSUSD,,,,,
246,XPAY,57.71,1000.0,57.82,1000.0,3349.0
247,SMHX,28.59,100.0,28.68,1300.0,15080.0
248,FFEB,50.57,2900.0,50.66,3000.0,2221.0
249,EA,117.98,600.0,118.24,600.0,1614535.0
250,EGHT,3.0,100.0,3.01,200.0,283092.0
251,AMDGBP,,,,,
252,FJDGBP,,,,,
253,COPUSD,,,,,
254,URAX,13.67,1100.0,13.76,900.0,6546.0
255,NITE,31.43,1200.0,31.47,1200.0,1735.0
256,KCAI,27.38,900.0,27.46,800.0,1.0
257,NOEM,,,,,1309.0
258,LLAP,,,,,
259,FAMI,,,,,168268.0
260,EAC,,,,,
261,CGUI,25.21,1800.0,25.23,800.0,2678.0
262,SUPP,65.02,3000.0,65.1,1000.0,288.0
263,EAFG,19.87,900.0,19.92,900.0,302.0
264,NSANY,5.38,40000.0,5.43,40000.0,2297.0
265,ESCR,9.19,900.0,,900.0,301.0
266,BOBUSD,,,,,
267,DKKCNY,,,,,
268,XAUARS,,,,,
269,BMDKYD,,,,,
270,TWDGBP,,,,,
271,QQQT,13.47,200.0,24.11,200.0,8005.0
272,JULT,40.24,1400.0,40.3,1300.0,9452.0
273,TTDUSD,,,,,
274,APRD,24.79,4000.0,24.88,3100.0,397.0
275,FESM,33.81,1000.0,33.92,1800.0,96372.0
276,OBND,25.88,800.0,25.9,800.0,968.0
277,USSH,36.23,200.0,64.43,200.0,248.0
278,SCAP,36.08,1000.0,36.14,1000.0,252.0
279,MKOR,22.17,1300.0,22.24,800.0,166.0
280,BBBI,50.45,800.0,50.46,1000.0,277.0
281,JPYTWD,,,,,
282,MCRO,,1800.0,38.69,1800.0,40.0
283,RIV,11.95,900.0,12.06,2200.0,26120.0
284,CGTL,5.12,100.0,5.27,100.0,13195.0
285,AGD,10.11,800.0,10.16,900.0,42615.0
286,BOBGBP,,,,,
287,BGNCAD,,,,,
288,TZSZAR,,,,,
289,ILSAED,,,,,
290,TSMG,15.48,500.0,15.7,500.0,5752.0
291,EBR,6.22,3100.0,6.23,2900.0,545441.0
292,QTOP,26.42,2300.0,26.47,3700.0,282383.0
293,PRSU,41.65,800.0,41.72,800.0,56047.0
294,HDL,23.94,100.0,29.0,100.0,4149.0
295,HDL,23.94,100.0,29.0,100.0,4149.0
296,FRXB,,,,,
297,BAMY,26.77,1000.0,26.8,1000.0,13032.0
298,TGH,,,,,
299,BBBS,50.76,1100.0,50.79,1000.0,12109.0
300,AETH,32.76,800.0,32.8,800.0,774.0
301,SEKEUR,,,,,
302,EURILS,,,,,
303,GBPCZK,,,,,
304,GBPEUR,,,,,
305,EURKRW,,,,,
306,RWTN,25.11,800.0,25.19,1100.0,3485.0
307,GRW,34.46,1300.0,34.47,2900.0,1179.0
308,MFAN,25.43,1100.0,25.45,800.0,8809.0
309,EIPI,20.05,1200.0,20.1,1000.0,57975.0
310,WLACW,0.18,1000.0,0.28,300.0,1997.0
311,PONY,13.3,100.0,13.44,100.0,120387.0
312,COMPUSD,,,,,
313,TBN,24.42,1000.0,25.4,1100.0,5299.0
314,QFLR,29.32,800.0,29.4,1100.0,15537.0
315,APRH,24.74,1200.0,24.83,3100.0,258.0
316,WEL,,1100.0,,1000.0,1201.0
317,CNDUSD,,,,,
318,SEDA,,,,,
319,BNKD,,1100.0,,1100.0,81800.0
320,YIBO,3.24,100.0,3.3,400.0,909216.0
321,DWCR,28.87,1000.0,29.4,1000.0,1.0
322,PENG,14.04,200.0,24.96,200.0,262713.0
323,DGBUSD,,,,,
324,ELTLF,0.025,,0.0795,,10000.0
325,CHFSZL,,,,,
326,BRLEUR,,,,,
327,AUDPLN,,,,,
328,XRTUSD,,,,,
329,EURARS,,,,,
330,TWDINR,,,,,
331,CHFHUF,,,,,
332,VNDJPY,,,,,
333,DKKSGD,,,,,
334,NZDTWD,,,,,
335,MITN,25.46,800.0,25.5,4000.0,1088.0
336,GENM,10.11,900.0,10.14,1100.0,3.0
337,WAR,20.28,1000.0,20.31,1000.0,721.0
338,COPZAR,,,,,
339,USDCHF,,,,,
340,USDTRY,,,,,
341,CPSN,25.49,2200.0,25.55,1400.0,203.0
342,MOTE,29.01,1100.0,29.06,900.0,102.0
343,XMAR,36.52,800.0,36.58,1200.0,997.0
344,BOXL,0.848,100.0,0.8892,100.0,68417.0
345,JULJ,25.03,1000.0,25.07,1200.0,262.0
346,BBLB,83.58,800.0,83.62,800.0,167.0
347,TUSI,25.31,1100.0,25.32,1300.0,19414.0
348,CELUSD,,,,,
349,KRBN,30.76,1000.0,30.85,800.0,17124.0
350,SMPNY,13.96,40000.0,14.0,40000.0,5086.0
351,ZARUSD,,,,,
352,ELUT,,,,,6714.0
353,RUSHB,57.63,100.0,59.31,100.0,4021.0
354,IMCB,79.73,1200.0,79.81,900.0,10652.0
355,TWDKRW,,,,,
356,TAXX,50.58,900.0,50.62,800.0,1113.0
357,SLRC,16.8,200.0,16.82,100.0,52675.0
358,FTRB,24.68,1000.0,24.8,900.0,27048.0
359,CGGE,26.67,900.0,26.68,1000.0,404121.0
360,AFAR,,,,,
361,AUDPHP,,,,,
362,MOONUSD,,,,,
363,NBET,33.46,900.0,33.49,900.0,758.0
364,MOBUSD,,,,,
365,NODLUSD,,,,,
366,NUUSD,,,,,
367,MCTR,4.51,100.0,5.98,100.0,369790.0
368,NXTUSD,,,,,
369,BMA,102.53,3200.0,102.99,800.0,177028.0
370,FSEP,46.52,2900.0,46.61,900.0,1991.0
371,UFEB,33.45,3100.0,33.52,2200.0,3490.0
372,QSPT,28.04,1200.0,28.1,900.0,2850.0
373,NYMUSD,,,,,
374,SUBUSD,,,,,
375,SUPERUSD,,,,,
376,TRXUSD,,,,,
377,AGGS,40.78,,40.82,800.0,102.0
378,ALEC,1.7,100.0,1.71,100.0,194952.0
379,BOSONUSD,,,,,
380,USEP,35.7,1400.0,35.76,1100.0,2647.0
381,ACXP,,,,,75182.0
382,INFO,21.14,1000.0,21.18,1000.0,378.0
383,LRCUSD,,,,,
384,CBSTF,0.059,308300.0,0.063,312500.0,10810.0
385,INFO,21.14,1000.0,21.18,1000.0,378.0
386,SNTUSD,,,,,
387,TESI,0.21,,1.1,,6522.0
388,RNDRUSD,,,,,
389,CVIIW,,,,,
390,MASKUSD,,,,,
391,MKRUSD,,,,,
392,NUMI,25.07,,25.1,,95008.0
393,ALDFU,9.99,100.0,10.01,200.0,1.0
394,CCEF,28.54,800.0,28.61,1000.0,2945.0
395,QXQ,24.44,1000.0,25.42,2300.0,10076.0
396,BIOR,0.22,,0.258,317700.0,169446.0
397,BTSG,17.48,200.0,24.31,100.0,471932.0
398,BTSG,17.48,200.0,24.31,100.0,471932.0
399,ZCSH,4.1,40000.0,4.35,40000.0,2250.0
400,DSGX,117.25,100.0,117.61,100.0,74943.0
401,MODN,,,,,
402,TSEC,26.03,1100.0,26.06,800.0,371.0
403,HCDIZ,,,,,195185.0
404,ARGO,,,,,
405,CSSE,,,,,22111163.0
406,GEMD,40.59,2200.0,40.6,1000.0,2458.0
407,CADBRL,,,,,
408,BRLAUD,,,,,
409,CHFCAD,,,,,
410,PSF,20.21,1100.0,20.31,900.0,19999.0
411,NOTE,1.25,2900.0,1.27,3000.0,1740483.0
412,NETC,,,,,
413,BPRN,,,,,1550.0
414,GRBK,61.97,800.0,62.1,1000.0,54113.0
415,INDV,12.16,100.0,12.19,100.0,91342.0
416,ILSSEK,,,,,
417,HFSP,,,,,1310.0
418,EURRUB,,,,,
419,TRYDKK,,,,,
420,MLFB,,,,,2500.0
421,COWS,21.66,200.0,39.05,200.0,2222.0
422,MXNBRL,,,,,
423,ILSJOD,,,,,
424,ILSNOK,,,,,
425,EURSAR,,,,,
426,TVAL,32.6,1200.0,32.62,1200.0,5787.0
427,GMOI,24.98,1200.0,25.03,800.0,420.0
428,MADAUD,,,,,
429,THAR,,,,,8658.0
430,CCG,0.8801,100.0,0.9,100.0,136128.0
431,BFRG,2.57,100.0,2.7,100.0,519773.0
432,USDCNY,,,,,
433,HKDTWD,,,,,
434,THBCNY,,,,,
435,INREUR,,,,,
436,PLNJPY,,,,,
437,THBGBP,,,,,
438,HKDDKK,,,,,
439,THBCAD,,,,,
440,HKDCHF,,,,,
441,GMOV,25.7,1100.0,25.71,1800.0,10949.0
442,CAPNU,9.97,100.0,10.02,2000.0,600.0
443,PTIX,,,,,293930.0
444,EDSA,,,,,9898.0
445,XDQQ,35.43,1100.0,35.52,800.0,783.0
446,SWEB,,800.0,,800.0,1146.0
447,GMAY,37.47,1800.0,37.55,900.0,1548.0
448,AVXL,7.15,200.0,11.96,200.0,381158.0
449,NZDDKK,,,,,
450,AUDCZK,,,,,
451,USGO,6.52,200.0,11.75,200.0,6149.0
452,GMM,2.7,200.0,4.65,200.0,46073.0
453,LSH,2.13,100.0,2.13,100.0,80326.0
454,ZARTWD,,,,,
455,CLDI,0.615,1000.0,0.6152,2900.0,701224.0
456,VR,,800.0,,1100.0,1118.0
457,USDGBP,,,,,
458,NOKSEK,,,,,
459,BMAC,,,,,
460,AUDDKK,,,,,
461,CLPUSD,,,,,
462,AUDTWD,,,,,
463,AUDHUF,,,,,
464,AUDBRL,,,,,
465,AIFD,29.89,3200.0,29.9,1400.0,3012.0
466,MFAO,25.52,800.0,25.55,1100.0,2324.0
467,IBDZ,25.51,1300.0,25.56,800.0,21111.0
468,LUNR,22.33,600.0,22.46,600.0,9026896.0
469,DYCQ,10.37,4000.0,10.34,100.0,70593.0
470,TFJL,20.07,800.0,20.12,800.0,2938.0
471,DXYZ,55.28,2200.0,56.17,900.0,386533.0
472,GFEB,37.78,1400.0,37.86,1300.0,4730.0
473,TNMLF,,,,,
474,APGB,,,,,
475,HHLA,,,,,
476,FLJJ,29.12,3100.0,29.21,3100.0,100.0
477,TRYSGD,,,,,
478,BKDV,26.05,1200.0,26.07,1800.0,1353.0
479,KRWTHB,,,,,
480,THBTWD,,,,,
481,CSTA,,,,,
482,THBJPY,,,,,
483,SGDHKD,,,,,
484,JPYSEK,,,,,
485,THBINR,,,,,
486,BMDEUR,,,,,
487,DKKZAR,,,,,
488,APTV,63.83,800.0,63.87,800.0,755146.0
489,CRSH,5.98,900.0,6.03,2200.0,127704.0
490,ELMD,35.1,900.0,35.37,1100.0,22062.0
491,TOGA,32.04,900.0,32.07,1200.0,2753.0
492,FGN,26.45,800.0,26.62,3100.0,9199.0
493,XTEN,45.21,4000.0,45.25,4000.0,24899.0
494,IFEB,26.43,900.0,26.49,800.0,1137.0
495,BLURUSD,,,,,
496,HUFDKK,,,,,
497,FUFU,5.26,100.0,5.32,100.0,101531.0
498,IVVB,31.09,1000.0,31.16,800.0,1057.0
499,AGIX,29.82,1200.0,29.95,1200.0,2652.0
500,ACLO,50.39,900.0,50.45,1200.0,4.0
501,ESLT,214.95,200.0,383.23,200.0,12747.0
502,CUBWU,10.04,1000.0,10.08,1000.0,1.0
503,EQR,69.99,800.0,70.02,800.0,279549.0
504,BELT,31.49,1100.0,31.55,1100.0,178.0
505,XTOC,30.02,2200.0,30.11,900.0,30.0
506,FOXX,8.7,100.0,8.82,1000.0,21076511.0
507,BRHY,51.15,1000.0,51.23,100.0,71.0
508,ET,20.87,1200.0,20.88,2200.0,6647211.0
509,SFHG,0.6222,200.0,1.06,200.0,181263.0
510,IONQ,38.79,1000.0,38.82,1100.0,8828224.0
511,JIII,50.62,,50.64,,603.0
512,MNR,17.51,1200.0,17.57,900.0,63899.0
513,ESMC,0.155,,0.16,,39000.0
514,SEI,27.84,800.0,27.93,1200.0,839347.0
515,SDST,1.09,100.0,1.12,100.0,166285.0
516,BUSA,33.33,800.0,33.4,2900.0,22598.0
517,HYBX,30.71,800.0,30.82,1100.0,300.0
518,TEM,54.0,100.0,59.0,200.0,13083915.0
519,TEM,54.0,100.0,59.0,200.0,13083915.0
520,THBAUD,,,,,
521,VCTR,66.11,100.0,66.32,100.0,58782.0
522,BILI,17.53,100.0,17.6,100.0,2460281.0
523,CPSJ,25.24,1200.0,25.3,1300.0,182.0
524,RNUGF,0.0011,,0.1,,500.0
525,EURN,,,,,
526,PTLE,2.21,100.0,2.61,100.0,213042.0
527,SLSR,3.34,1000.0,3.35,1200.0,26043.0
528,IQDUSD,,,,,
529,BAFE,26.36,1500.0,26.4,1500.0,40068.0
530,INTS,,,,,9763.0
531,QYLE,,,,,259.0
532,WRD,14.26,100.0,14.9,100.0,44901.0
533,SFM,156.13,100.0,156.59,100.0,442254.0
534,UJB,74.25,800.0,74.39,800.0,237.0
535,DRCT,1.2,100.0,1.25,100.0,259144.0
536,ATMCR,,,,,1738.0
537,PNTG,27.2,100.0,27.43,100.0,62221.0
538,EMOT,22.0,900.0,22.02,900.0,298.0
539,CNC,64.13,1100.0,64.16,1000.0,1062167.0
540,AAL,16.87,100.0,16.97,200.0,24940045.0
541,AIO,24.6,800.0,24.67,1200.0,93012.0
542,AITR,,,,,1.0
543,PL,5.81,1300.0,5.82,1300.0,9505549.0
544,BHRB,45.36,200.0,81.85,200.0,10877.0
545,GGB,2.99,46000.0,3.0,43500.0,5410442.0
546,PLNUSD,,,,,
547,EDEN,107.52,1200.0,107.75,1300.0,4090.0
548,ZIM,17.65,3200.0,17.67,1000.0,1416667.0
549,BBEM,52.31,1100.0,52.34,1000.0,1.0
550,AVTR,21.96,2200.0,21.96,1100.0,1755708.0
551,VRCA,0.5038,200.0,0.6995,100.0,72364.0
552,BTFX,60.31,300.0,60.54,300.0,4124.0
553,GRDN,22.0,800.0,22.12,800.0,13863.0
554,PAMC,48.67,1000.0,48.79,1300.0,12692.0
555,FND,104.35,900.0,104.6,800.0,519293.0
556,CGCV,27.71,1200.0,27.71,1300.0,228112.0
557,PSPW,,,,,19300.0
558,FLCO,21.23,800.0,21.24,900.0,15308.0
559,ABCL,3.28,100.0,3.29,100.0,1053533.0
560,EWL,49.95,900.0,49.97,1200.0,72582.0
561,BSAC,20.3,800.0,20.33,1100.0,87565.0
562,BGT,12.65,800.0,12.67,800.0,48576.0
563,LFST,8.17,100.0,8.18,100.0,219358.0
564,HSY,150.32,900.0,150.5,1200.0,546271.0
565,ACHL,1.06,100.0,1.18,100.0,34985.0
566,AAPL,238.35,600.0,238.48,300.0,19530844.0
567,BLK,1067.11,800.0,1069.64,800.0,181535.0
568,MI,2.78,1000.0,2.96,900.0,5667.0
569,VMAX,50.93,1000.0,51.0,2200.0,9.0
570,WLACU,9.98,100.0,10.0,100.0,237.0
571,SVCO,8.47,100.0,8.53,100.0,58627.0
572,SVCO,8.45,100.0,11.0,200.0,58627.0
573,ACHC,45.35,300.0,45.6,300.0,226904.0
574,AFYA,16.45,100.0,16.6,100.0,29525.0
575,REAI,14.89,200.0,26.96,200.0,12.0
576,LOAN,,,,,1275.0
577,TSLA,405.7,200.0,410.0,200.0,65410126.0
578,ASPN,11.84,1200.0,11.86,800.0,388704.0
579,ARCB,94.57,100.0,94.79,100.0,98995.0
580,NHYM,25.09,,25.11,,50002.0
581,SRAD,21.21,100.0,21.39,100.0,136763.0
582,HCWC,1.02,3000.0,1.04,800.0,45749.0
583,STAI,1.44,100.0,1.46,100.0,20835136.0
584,PIII,,,,,555278.0
585,SNDR,29.5,800.0,29.56,800.0,428380.0
586,NTWOU,9.95,25000.0,10.01,100.0,2220.0
587,ASPI,5.71,100.0,5.78,200.0,1108646.0
588,MEDS,,,,,
589,FAGI,0.0113,,0.014,,14034.0
590,TFSL,12.84,100.0,12.86,100.0,47491.0
591,FANUY,14.97,40000.0,14.99,381200.0,16455.0
592,DVY,135.49,200.0,135.69,200.0,166310.0
593,ACHV,3.26,100.0,4.19,200.0,80360.0
594,ALCYW,,,,,39.0
595,AM,15.92,1800.0,15.93,800.0,627769.0
596,WCC,187.6,2900.0,187.96,1000.0,125100.0
597,USDINR,,,,,
598,HG,19.59,1000.0,19.61,800.0,67244.0
599,ABG,304.4,800.0,305.86,800.0,505687.0
600,AB,39.89,800.0,39.98,800.0,104508.0
601,AGAE,,,,,74995.0
602,TKLF,,,,,3037.0
603,ATHA,0.3708,200.0,0.6929,200.0,61534.0
604,BCAX,11.98,100.0,12.41,100.0,247611.0
605,SAIHW,,,,,252.0
606,BAYA,,,,,11325.0
607,COPY,10.5,2200.0,10.53,1300.0,30148.0
608,AHR,28.69,1000.0,28.74,800.0,467675.0
609,NIXXW,,,,,1.0
610,PYTHUSD,,,,,
611,ABOS,1.56,100.0,1.57,100.0,78111.0
612,AMD,117.97,100.0,119.92,100.0,16290155.0
613,CPRY,25.0,800.0,25.09,900.0,388.0
614,TBBB,31.34,1300.0,31.41,900.0,76494.0
615,BURCA,13.99,40000.0,14.15,40000.0,100.0
616,ACIC,12.58,100.0,12.66,100.0,25936.0
617,AEP,93.16,100.0,103.97,100.0,1858841.0
618,KNSL,440.99,800.0,442.56,800.0,29430.0
619,AVAV,171.68,100.0,173.07,100.0,78189.0
620,ATOM,8.13,100.0,8.21,100.0,519297.0
621,CGO,,,,,18687.0
